species	superkingdom	phylum	class
pandoraea_faecigallinarum	Bacteria	Proteobacteria	Betaproteobacteria
marinobacter_daepoensis	Bacteria	Proteobacteria	Gammaproteobacteria
agromyces_neolithicus	Bacteria	Actinobacteria	
haloferax_prahovense	Archaea	Euryarchaeota	
desulfobacterium_vacuolatum	Bacteria	Proteobacteria	Deltaproteobacteria
alternaria_calendulae	Eukaryota	Ascomycota	
thermococcus_peptonophilus	Archaea	Euryarchaeota	
abiotrophia_defectiva	Bacteria	Firmicutes	
bacillus_vireti	Bacteria	Firmicutes	
thiomicrospira_chilensis	Bacteria	Proteobacteria	Gammaproteobacteria
serpula_himantioides	Eukaryota	Basidiomycota	
macrotis_lagotis	Eukaryota	Chordata	
flavobacterium_gillisiae	Bacteria	Bacteroidetes	
arenimonas_donghaensis	Bacteria	Proteobacteria	Gammaproteobacteria
meiothermus_timidus	Bacteria	Deinococcus-Thermus	
clostridium_chauvoei	Bacteria	Firmicutes	
paenibacillus_pabuli	Bacteria	Firmicutes	
streptomyces_fulvissimus	Bacteria	Actinobacteria	
veillonella_montpellierensis	Bacteria	Firmicutes	
astragalus_bisculatus	Eukaryota	Streptophyta	
shigella_flexneri	Bacteria	Proteobacteria	Gammaproteobacteria
fusarium_anthophilum	Eukaryota	Ascomycota	
tsukamurella_paurometabola	Bacteria	Actinobacteria	
inquilinus_limosus	Bacteria	Proteobacteria	Alphaproteobacteria
mycobacterium_holsaticum	Bacteria	Actinobacteria	
ignisphaera_aggregans	Archaea	Crenarchaeota	
halobacillus_kuroshimensis	Bacteria	Firmicutes	
marinomonas_dokdonensis	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_olivaceus	Bacteria	Actinobacteria	
rubellimicrobium_mesophilum	Bacteria	Proteobacteria	Alphaproteobacteria
leadbetterella_byssophila	Bacteria	Bacteroidetes	
ancalomicrobium_adetum	Bacteria	Proteobacteria	Alphaproteobacteria
halorubrum_luteum	Archaea	Euryarchaeota	
tecoma_stans	Eukaryota	Streptophyta	
spiroplasma_platyhelix	Bacteria	Tenericutes	
hydrogenophaga_defluvii	Bacteria	Proteobacteria	Betaproteobacteria
thermoplasma_volcanium	Archaea	Euryarchaeota	
thermus_aquaticus	Bacteria	Deinococcus-Thermus	
cricetus_cricetus	Eukaryota	Chordata	
streptomyces_sanyensis	Bacteria	Actinobacteria	
thiolamprovum_pedioforme	Bacteria	Proteobacteria	Gammaproteobacteria
chryseobacterium_piperi	Bacteria	Bacteroidetes	
shewanella_halifaxensis	Bacteria	Proteobacteria	Gammaproteobacteria
erwinia_tasmaniensis	Bacteria	Proteobacteria	Gammaproteobacteria
lactobacillus_hayakitensis	Bacteria	Firmicutes	
penicillium_rubrum	Eukaryota	Ascomycota	
mycobacterium_brisbanense	Bacteria	Actinobacteria	
actinomadura_umbrina	Bacteria	Actinobacteria	
desulfacinum_infernum	Bacteria	Proteobacteria	Deltaproteobacteria
kibdelosporangium_philippinense	Bacteria	Actinobacteria	
halosimplex_carlsbadense	Archaea	Euryarchaeota	
dipus_sagitta?	Eukaryota	Chordata	
polaromonas_vacuolata	Bacteria	Proteobacteria	Betaproteobacteria
pseudomonas_brassica	Eukaryota	Streptophyta	
tonatia_bidens	Eukaryota	Chordata	
streptomyces_globosus	Bacteria	Actinobacteria	
lophodermium_seditiosum	Eukaryota	Ascomycota	
protomyces_pachydermus	Eukaryota	Ascomycota	
burkholderia_pyrrocinia	Bacteria	Proteobacteria	Betaproteobacteria
spiroplasma_gladiatoris	Bacteria	Tenericutes	
halomonas_qijiaojingensis	Bacteria	Proteobacteria	Gammaproteobacteria
fusicoccum_galericulatum	Eukaryota	Ascomycota	
pseudomonas_argentinensis	Bacteria	Proteobacteria	Gammaproteobacteria
amycolatopsis_thermoflava	Bacteria	Actinobacteria	
halomonas_vilamensis	Bacteria	Proteobacteria	Gammaproteobacteria
slackia_equolifaciens	Bacteria	Actinobacteria	
paenibacillus_favisporus	Bacteria	Firmicutes	
thermodesulfobacterium_hydrogeniphilum	Bacteria	Thermodesulfobacteria	
spermophilus_beldingi	Eukaryota	Chordata	
clostridium_acidisoli	Bacteria	Firmicutes	
hyphomicrobium_denitrificans	Bacteria	Proteobacteria	Alphaproteobacteria
clostridium_cocleatum	Bacteria	Firmicutes	
mesorhizobium_mediterraneum	Bacteria	Proteobacteria	Alphaproteobacteria
streptomyces_sundarbansensis	Bacteria	Actinobacteria	
streptomyces_kanamyceticus	Bacteria	Actinobacteria	
rhodovulum_kholense	Bacteria	Proteobacteria	Alphaproteobacteria
microbacterium_insulae	Bacteria	Actinobacteria	
photorhabdus_luminescens	Bacteria	Proteobacteria	Gammaproteobacteria
armillaria_bulbosa	Eukaryota	Basidiomycota	
chromobacterium_pseudoviolaceum	Bacteria	Proteobacteria	Betaproteobacteria
lemmus_sibericus	Eukaryota	Chordata	
rhizobium_multihospitium	Bacteria	Proteobacteria	Alphaproteobacteria
thermobifida_fusca	Bacteria	Actinobacteria	
bipolaris_victoriae	Eukaryota	Ascomycota	
rhodococcus_nocardia	Bacteria	Actinobacteria	
sulfurimonas_paralvinellae	Bacteria	Proteobacteria	Epsilonproteobacteria
sphingomonas_jaspsi	Bacteria	Proteobacteria	Alphaproteobacteria
devosia_limi	Bacteria	Proteobacteria	Alphaproteobacteria
thermococcus_kodakarensis	Archaea	Euryarchaeota	
methanoplanus_endosymbiosus	Archaea	Euryarchaeota	
ramaria_flava	Eukaryota	Basidiomycota	
nocardia_takedensis	Bacteria	Actinobacteria	
amycolatopsis_equina	Bacteria	Actinobacteria	
desulfotomaculum_solfataricum	Bacteria	Firmicutes	
streptomyces_rochei	Bacteria	Actinobacteria	
aquimarina_agarilytica	Bacteria	Bacteroidetes	
arcobacter_cibarius	Bacteria	Proteobacteria	Epsilonproteobacteria
microbacterium_binotii	Bacteria	Actinobacteria	
actinomyces_johnsonii	Bacteria	Actinobacteria	
ferocactus_latispinus	Eukaryota	Streptophyta	
propioniciclava_tarda	Bacteria	Actinobacteria	
micromonospora_chokoriensis	Bacteria	Actinobacteria	
mesorhizobium_thiogangeticum	Bacteria	Proteobacteria	Alphaproteobacteria
actinomyces_oris	Bacteria	Actinobacteria	
sphaerisporangium_album	Bacteria	Actinobacteria	
peterozyma_xylosa	Eukaryota	Ascomycota	
zobellella_denitrificans	Bacteria	Proteobacteria	Gammaproteobacteria
chryseobacterium_joostei	Bacteria	Bacteroidetes	
enterococcus_gallinarum	Bacteria	Firmicutes	
petaurus_breviceps	Eukaryota	Chordata	
corynebacterium_aurimucosum	Bacteria	Actinobacteria	
anoxybacillus_tengchongensis	Bacteria	Firmicutes	
clavispora_lusitaniae	Eukaryota	Ascomycota	
isoodon_macrourus	Eukaryota	Chordata	
microbacterium_paraoxydans	Bacteria	Actinobacteria	
amazilia_leucogaster	Eukaryota	Chordata	
luteimonas_aestuarii	Bacteria	Proteobacteria	Gammaproteobacteria
candida_spandovensis	Eukaryota	Ascomycota	
frondihabitans_australicus	Bacteria	Actinobacteria	
streptosporangium_streptosporangium	Bacteria	Actinobacteria	
