species	superkingdom	phylum	class	order	family
streptomyces_cirratus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
halogeometricum_borinquense	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae
sphingobium_japonicum	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
eubacterium_moniliforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
flavobacterium_saliperosum	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
clostridium_halophilum	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
lactobacillus_farciminis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
halorhodospira_neutriphila	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae
fructobacillus_durionis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae
gordonia_defluvii	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Gordoniaceae
nocardiopsis_halophila	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
actinobacillus_rossii	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
caloramator_proteoclasticus	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae
streptococcus_dentirousetti	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
sulfobacillus_thermosulfidooxidans	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis
micromonospora_rhizosphaerae	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
pseudomonas_ficuserectae	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
streptomyces_reticuliscabiei	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
desulfitibacter_alkalitolerans	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
bacillus_alcalophilus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
acetobacterium_carbinolicum	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae
streptomyces_rubrus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
paenibacillus_aestuarii	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae
methylocella_silvestris	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae
halomonas_gudaonensis	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae
mycobacterium_palustre	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
clostridium_josui	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae
actinosynnema_mirum	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
nonomuraea_africana	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
streptococcus_hyovaginalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
micromonospora_inyonensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
amycolatopsis_albidoflavus	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
tetragenococcus_koreensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
succiniclasticum_ruminis	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae
microtetraspora_malaysiensis	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
amycolatopsis_palatopharyngis	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae
geobacter_bemidjiensis	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae
acinetobacter_haemolyticus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
actinoplanes_tereljensis	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae
dorea_formicigenerans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
hoeflea_marina	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae
methanosaeta_thermophila	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae
sphingomonas_faeni	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
helicobacter_pullorum	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae
solitalea_koreensis	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae
dermacoccus_profundi	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae
pseudomonas_pictorum	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae
actinomadura_livida	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
psychrobacter_salsus	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
vibrio_inusitatus	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
photorhabdus_temperata	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae
actinocorallia_glomerata	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae
erwinia_amylovora	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae
hydrogenoanaerobacterium_saccharovorans	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
mycobacterium_aichiense	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
nocardia_pneumoniae	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
bacillus_pocheonensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
streptomonospora_alba	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
phenylobacterium_zucineum	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae
jannaschia_rubra	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
tsukamurella_soli	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Tsukamurellaceae
hippea_jasoniae	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae
methanogenium_marinum	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae
bacillus_mojavensis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
microbacterium_resistens	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
agromyces_cerinus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
lactobacillus_pentosus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
